tconst	ordering	nconst	category	job	characters
tt0068000	10	nm2633856	cinematographer	\N	\N
tt0068000	1	nm0000329	actor	\N	"[""Jackie""]"
tt0068000	2	nm0803298	actor	\N	"[""Old Master""]"
tt0068000	3	nm0509599	actor	\N	"[""Chao Ling""]"
tt0068000	4	nm0790925	actor	\N	"[""Landlord""]"
tt0068000	5	nm0610786	director	\N	\N
tt0068000	6	nm0271814	director	\N	\N
tt0068000	7	nm3976375	writer	\N	\N
tt0068000	8	nm2142356	producer	executive producer	\N
tt0068000	9	nm0150894	composer	\N	\N
tt0070017	10	nm0271814	cinematographer	\N	\N
tt0070017	1	nm0702666	actor	\N	"[""Tang Jing Fong""]"
tt0070017	2	nm1228408	actress	\N	"[""Rickshaw Man's Granddaughter""]"
tt0070017	3	nm2887441	actor	\N	\N
tt0070017	4	nm0000329	actor	\N	"[""Shi Tzer""]"
tt0070017	5	nm0610786	director	\N	\N
tt0070017	6	nm2342385	writer	writer	\N
tt0070017	7	nm2342339	producer	producer	\N
tt0070017	8	nm2809002	producer	producer	\N
tt0070017	9	nm0455098	composer	\N	\N
tt0070049	1	nm0000329	actor	\N	"[""Xiao Liu""]"
tt0070049	2	nm0791461	actor	\N	"[""Brothel client""]"
tt0070049	3	nm0155572	actor	\N	\N
tt0070049	4	nm0512696	actress	\N	\N
tt0070049	5	nm0497379	director	\N	\N
tt0070049	6	nm0788411	producer	producer	\N
tt0070049	7	nm0159450	composer	\N	\N
tt0070049	8	nm1163787	cinematographer	\N	\N
tt0070049	9	nm0156963	editor	\N	\N
tt0073694	10	nm0950621	editor	\N	\N
tt0073694	1	nm0848903	actor	\N	"[""Yun Fei""]"
tt0073694	2	nm0862875	actor	\N	"[""Shih Shao-Feng""]"
tt0073694	3	nm0000329	actor	\N	"[""Tan Feng""]"
tt0073694	4	nm1814409	actress	\N	"[""Autumn Moon""]"
tt0073694	5	nm0000247	director	\N	\N
tt0073694	6	nm0159494	producer	producer	\N
tt0073694	7	nm0345150	composer	\N	\N
tt0073694	8	nm0508667	cinematographer	\N	\N
tt0073694	9	nm0151649	editor	\N	\N
tt0074747	10	nm0393207	editor	\N	\N
tt0074747	1	nm0000329	actor	\N	"[""Hua Wu Bin""]"
tt0074747	2	nm0911093	actor	\N	"[""Mei Xing He""]"
tt0074747	3	nm2313503	actress	\N	\N
tt0074747	4	nm0950528	actor	\N	\N
tt0074747	5	nm0516344	director	\N	\N
tt0074747	6	nm0473325	writer	screenplay	\N
tt0074747	7	nm0159450	composer	\N	\N
tt0074747	8	nm0155185	cinematographer	\N	\N
tt0074747	9	nm0150843	cinematographer	\N	\N
tt0075201	10	nm0399077	editor	\N	\N
tt0075201	1	nm0000329	actor	\N	\N
tt0075201	2	nm0432005	actress	\N	\N
tt0075201	3	nm0436340	actor	\N	\N
tt0075201	4	nm0151793	actress	\N	\N
tt0075201	5	nm0155179	director	\N	\N
tt0075201	6	nm0436339	writer	\N	\N
tt0075201	7	nm0516344	producer	producer	\N
tt0075201	8	nm0159450	composer	\N	\N
tt0075201	9	nm0150843	cinematographer	\N	\N
tt0075439	10	nm0150843	cinematographer	\N	\N
tt0075439	1	nm0000329	actor	\N	"[""A Lung""]"
tt0075439	2	nm0583963	actress	\N	\N
tt0075439	3	nm0151080	actor	\N	\N
tt0075439	4	nm0156460	actor	\N	\N
tt0075439	5	nm0516344	director	\N	\N
tt0075439	6	nm0659015	writer	\N	\N
